artists,album_name,track_name
Lil Peep,"Come Over When You're Sober, Pt. 1",Better Off (Dying)
A Rocket To The Moon,Wild & Free (Deluxe),Somebody Out There
A Rocket To The Moon,On Your Side,Baby Blue Eyes
A Rocket To The Moon,On Your Side,Like We Used To
My Chemical Romance,The Black Parade,Disenchanted
My Chemical Romance,Three Cheers for Sweet Revenge,The Ghost of You
There For Tomorrow,A Little Faster,A Little Faster
Anarbor,Burnout (Deluxe Version),18
My Chemical Romance,The Black Parade,Dead!
dandelion hands,It's All In Your Head,How To Never Stop Being Sad
ONE OK ROCK,JINSEI KAKETE BOKU WA,The Beginning
My Chemical Romance,The Black Parade,Mama
eli.,the way we used to love.,attached
My Chemical Romance,The Black Parade,The Sharpest Lives
My Chemical Romance,Number Three,The Light Behind Your Eyes
guccihighwaters,post death,i'm so sick of this
dandelion hands,It's All In Your Head,I Like You
My Chemical Romance,Three Cheers for Sweet Revenge,You Know What They Do to Guys Like Us in Prison
American Football,American Football,Never Meant
My Chemical Romance,Three Cheers for Sweet Revenge,Thank You for the Venom
Yung Pinch;Lil Skies,Nightmares (feat. Lil Skies),Nightmares (feat. Lil Skies)
salvia palth,melanchole,girl
My Chemical Romance,Number Three,The World Is Ugly
Flatsound,"Scotland, I Wish You Had Stayed.",I Exist I Exist I Exist
Lil Peep,"Come Over When You're Sober, Pt. 1",Problems
My Chemical Romance,The Black Parade,The End.
My Chemical Romance,The Black Parade,This Is How I Disappear
Yung Pinch,Perfect,Perfect
Hobo Johnson,The Fall of Hobo Johnson,Mover Awayer
Paramore,After Laughter,Rose-Colored Boy
Killstation,The Two of Us Are Dying,Sarcoma
Moose Blood,"I'll Keep You In Mind, From Time to Time",Cherry
My Chemical Romance,"I Brought You My Bullets, You Brought Me Your Love",Demolition Lovers
My Chemical Romance,The Black Parade,House of Wolves
Paramore,Paramore,Last Hope
XXXTENTACION;Kin$oul;Killstation,Revenge,Slipknot
Paramore,Brand New Eyes,Ignorance
My Chemical Romance,Number One,Boy Division
Josh A;iamjakehill,Better off Dead,Gucci Coffin
XXXTENTACION;Ski Mask The Slump God,"XXXTENTACION Presents: Members Only, Vol. 3",Bowser
My Chemical Romance,Three Cheers for Sweet Revenge,Cemetery Drive
ilyTOMMY;Savage Ga$p,Tunnel of Love,Tunnel of Love
Paramore,After Laughter,Fake Happy
Meg & Dia,"Something Real & Here, Here and Here",Monster
Lil Peep,GOTH ANGEL SINNER,Moving On
The Maine,Lovely Little Lonely,Black Butterflies and Déjà Vu
Salim–Sulaiman;Rahat Fateh Ali Khan;Jaideep Sahni,Aaja Nachle,O Re Piya
Seafret,Tell Me It's Real (Expanded Edition),Atlantis
Salim–Sulaiman;Sonu Nigam;Shreya Ghoshal;Salim Merchant,Kurbaan (Original Motion Picture Soundtrack),Shukran Allah
George Ezra,Wanted on Voyage (Expanded Edition),Budapest
Vancouver Sleep Clinic,Revival,Someone To Stay
Hugo,Old Tyme Religion,99 Problems
Radical Face,Ghost,"Welcome Home, Son"
Dr. Dog,"Shame, Shame (Deluxe Edition)",Where'd All the Time Go?
Matt Maltese,As the World Caves In,As the World Caves In
Tracy Chapman,Tracy Chapman,Fast Car
Tom Walker,Leave a Light On,Leave a Light On
Radical Face,Touch the Sky (Welcome Home) - EP,Welcome Home
Gregory Alan Isakov,This Empty Northern Hemisphere,Big Black Car
Seafret,Tell Me It's Real (Expanded Edition),Oceans
Gregory Alan Isakov,This Empty Northern Hemisphere,"If I Go, I'm Goin"
Lord Huron,Lonesome Dreams,Ends of the Earth
The Head And The Heart,Living Mirage,Honeybee
Tracy Chapman,Tracy Chapman,Baby Can I Hold You
Imaginary Future;Kina Grannis,I Will Spend My Whole Life Loving You,I Will Spend My Whole Life Loving You
Leonard Cohen,Various Positions,Hallelujah
Chicago,Chicago 17 (Expanded & Remastered),You're the Inspiration - 2006 Remaster
John Vincent III,Songs from the Valley,Next to You
Gregory Alan Isakov,The Weatherman,Amsterdam
Fink,Hard Believer,Looking Too Closely
Vance Joy,Dream Your Life Away (Special Edition),Fire and the Flood
George Ezra,Wanted on Voyage (Expanded Edition),Barcelona
Seafret,Tell Me It's Real (Expanded Edition),Wildfire
Else,Paris,Paris
Lilly Wood and The Prick;Robin Schulz,Prayer in C,Prayer in C - Robin Schulz Radio Edit
Alexandre Desplat,"Harry Potter and the Deathly Hallows, Pt. 2 (Original Motion Picture Soundtrack)",Lily's Theme
Alexandre Desplat;London Symphony Orchestra,The Imitation Game (Original Motion Picture Soundtrack),The Imitation Game
M83;Susanne Sundfør,Oblivion (Original Motion Picture Soundtrack),Oblivion
Syd Matters,Someday We Will Foresee Obstacles,Obstacles
L'Impératrice;Isaac Delusion,Sonate Pacifique,Sonate Pacifique
Stuck in the Sound,Pursuit,Let’s Go
Syd Matters,Someday We Will Foresee Obstacles,To All of You
Alexandre Desplat;Jean-Yves Thibaudet,Extremely Loud and Incredibly Close (Original Motion Picture Soundtrack),Extremely Loud and Incredibly Close
Anitta;J Balvin,Downtown,Downtown
Prince,Purple Rain,Purple Rain
Yung Bae;bbno$;Billy Marchiafava,Bad Boy,Bad Boy
Arctic Monkeys,AM,I Wanna Be Yours
Arctic Monkeys,AM,Do I Wanna Know?
Arctic Monkeys,AM,Why'd You Only Call Me When You're High?
Arctic Monkeys,AM,R U Mine?
Arctic Monkeys,AM,No. 1 Party Anthem
Arctic Monkeys,AM,Knee Socks
Arctic Monkeys,AM,Snap Out Of It
Arctic Monkeys,AM,Arabella
Jakob;Clairo,Bedroom Tapes,You Might Be Sleeping
No Vacation,Yam Yam,Yam Yam
Arctic Monkeys,AM,One For The Road
Arctic Monkeys,Why'd You Only Call Me When You're High?,Stop The World I Wanna Get Off With You
Arctic Monkeys,AM,Fireside
Arctic Monkeys,AM,Mad Sounds
Arctic Monkeys,AM,I Want It All
The Strokes,First Impressions Of Earth,You Only Live Once
Banes World,You Say I'm in Love,You Say I'm in Love
The Strokes,Angles,Under Cover of Darkness
The Growlers,City Club,Night Ride
Mis-Teeq,Mis-Teeq,Scandalous - U.S. Radio Edit
The Strokes,Angles,Machu Picchu
Kasabian,West Ryder Pauper Lunatic Asylum,Fire
The Strokes,Room On Fire,12:51
The Strokes,Comedown Machine,Welcome To Japan
Summer Salt,So Polite,Revvin' My Cj7
Summer Salt,So Polite,Candy Wrappers
The Strokes,Comedown Machine,80's Comedown Machine
Summer Salt,Driving to Hawaii,Sweet to Me
Kasabian,West Ryder Pauper Lunatic Asylum,Underdog
M.A.G.S.,M.A.G.S.,Drugs
The Strokes,Comedown Machine,Chances
The Strokes,Angles,Life Is Simple in the Moonlight
The Growlers,City Club,Dope on a Rope
The Strokes,Room On Fire,What Ever Happened?
Jakob,All Your Love,All Your Love
The Buttertones,Buttertones,Orpheus Under the Influence
Summer Salt,Driving to Hawaii,Driving to Hawaii
The Strokes,First Impressions Of Earth,Heart In a Cage
Mellow Fellow;Clairo,How Was Your Day?,How Was Your Day?
The Strokes,Comedown Machine,Tap Out
The Strokes,Comedown Machine,One Way Trigger
The Strokes,Future Present Past,Threat of Joy
The Kingsmen,The Best of The Kingsmen,Louie Louie
Puzzle,Soaring,I Saw an Angel
The Strokes,Room On Fire,Under Control
The Strokes,Room On Fire,I Can't Win
The Strokes,Angles,Taken for a Fool
Kasabian,Kasabian,Club Foot
The Black Keys,Turn Blue,Fever
The Growlers,City Club,When You Were Made
The Strokes,First Impressions Of Earth,Razorblade
The Black Keys,"""Let's Rock""",Lo/Hi
The Strokes,Room On Fire,The End Has No End
The Frights,You Are Going to Hate This,Tungs
The Heavy;The Dap-Kings Horns,How You Like Me Now EP,Coleen feat. The Dap-Kings Horns
The Black Angels,Passover,Young Men Dead
Jack White,Lazaretto,Lazaretto
The Trashmen,Surfin' Bird,Surfin' Bird
The Strokes,Room On Fire,Meet Me in the Bathroom
The Black Keys,Magic Potion,Your Touch
Phaeleh;Soundmouse,Fallen Light,Afterglow
Drugdealer;Weyes Blood,The End Of Comedy,Suddenly
The Strokes,Room On Fire,You Talk Way Too Much
The White Stripes,Elephant,Ball and Biscuit
Hala,Spoonfed,"What Is Love? Tell Me, Is It Easy?"
The Bobby Fuller Four,Never To Be Forgotten - The Mustang Years,I Fought the Law - Single Version
The Frights,You Are Going to Hate This,You Are Going to Hate This
Nosaj Thing,Views/Octopus EP,Aquarium
13th Floor Elevators,The Psychedelic Sounds of the 13th Floor Elevators - 2008 Remaster,You're Gonna Miss Me (2008 Remastered Original Mono LP Version)
Modern Talking,Let's Talk About Love,Cheri Cheri Lady
Hans Zimmer,Inception (Music from the Motion Picture),Time
Scorpions,Comeblack,Still Loving You
Scorpions,Comeblack,Rock You Like a Hurricane - 2011
Modern Talking,Ready For Romance,Brother Louie
Harold Faltermeyer;Steve Stevens,Top Gun - Motion Picture Soundtrack (Special Expanded Edition),"Top Gun Anthem - From ""Top Gun"" Original Soundtrack"
Mr. President,We See The Same Sun,Coco Jamboo
Michael Schulte,Hold the Rhythm,Falling Apart
Michael Schulte,Wide Awake,You Said You'd Grow Old With Me
Hans Zimmer;James Newton Howard,The Dark Knight (Original Motion Picture Soundtrack),A Dark Knight
Hans Zimmer,Inception (Music from the Motion Picture),Dream Is Collapsing
Hans Zimmer;James Newton Howard,The Dark Knight (Original Motion Picture Soundtrack),I'm Not a Hero
Hans Zimmer;James Newton Howard,The Dark Knight (Original Motion Picture Soundtrack),Why so Serious?
Hans Zimmer;James Newton Howard,The Dark Knight (Original Motion Picture Soundtrack),Like a Dog Chasing Cars
La Bouche,Best Of La Bouche feat. Melanie Thornton (feat. Melanie Thornton),Be My Lover
Ramin Djawadi,Game Of Thrones: Season 3 (Music from the HBO Series),A Lannister Always Pays His Debts
Johann Sebastian Bach;Glenn Gould,"Bach: The Goldberg Variations, BWV 988 (1981 Gould Remaster)","Goldberg Variations, BWV 988: Aria"
HammerFall,Crimson Thunder,Hearts on Fire
Little Dragon,Little Dragon,Twice
Type O Negative,Bloody Kisses (Top Shelf Edition),Black No. 1 (Little Miss Scare -All)
Type O Negative,October Rust (Special Edition),Love You to Death
Lacuna Coil,Comalies,Heaven's a Lie
Lacuna Coil,Karmacode,Enjoy the Silence - cover version
Brother Dege,Folk Songs of the American Longhair,Too Old to Die Young
HammerFall,Any Means Necessary,Last Man Standing
Type O Negative,Bloody Kisses (Top Shelf Edition),Christian Woman
Lamb of God,Ashes of the Wake (15th Anniversary),Laid to Rest
Lamb of God,Sacrament,Walk with Me In Hell
Lamb of God,Sacrament,Redneck
Mastodon,Leviathan,Blood and Thunder
Lamb of God,Ashes of the Wake (15th Anniversary),Omerta
Static-X,Shadow Zone,The Only
Pantera,Far Beyond Driven,I'm Broken
Mudvayne,Lost and Found,Happy?
Black Label Society,The Blessed Hellride,Stillborn
Machine Head,Is There Anybody Out There?,Is There Anybody Out There?
Lamb of God,Ashes of the Wake (15th Anniversary),Hourglass
Lamb of God,Ashes of the Wake (15th Anniversary),Now You've Got Something to Die For
Pantera,The Great Southern Trendkill,Floods
Gojira,L'Enfant Sauvage (Special Edition),Born in Winter
Pantera,Vulgar Display of Power,This Love
Pantera,Far Beyond Driven,5 Minutes Alone
Mudvayne,L.D. 50,Dig
Lamb of God,Ashes of the Wake (15th Anniversary),The Faded Line
Pantera,Vulgar Display of Power,Hollow
Pantera,Reinventing the Steel,Revolution Is My Name
Black Label Society,Mafia,In This River
Static-X,Wisconsin Death Trip,Push It
Pantera,Vulgar Display of Power,Fucking Hostile
Mudvayne,Lost and Found,Determined
Machine Head,Unto the Locust (Special Edition),Locust
Black Label Society,Mafia,Suicide Messiah
Pantera,Vulgar Display of Power,A New Level
Fear Factory,Digimortal,Linchpin
Mudvayne,Mudvayne,Scream With Me
Soulfly,Primitive (Special Edition),Jumpdafuckup
Mudvayne,Lost and Found,Forget to Remember - From Saw II - Original Soundtrack
Pantera,Far Beyond Driven,Becoming
Linkin Park;Steve Aoki,RECHARGED,A LIGHT THAT NEVER COMES
Three Days Grace,Three Days Grace (Expanded Edition),I Hate Everything About You
Linkin Park,Hybrid Theory (Bonus Edition),Runaway
Linkin Park,Hybrid Theory (Bonus Edition),With You
Three Days Grace,One-X,Never Too Late
Nickelback,All the Right Reasons,Photograph
Soul Asylum,Grave Dancers Union (2022 Remaster),Runaway Train (2022 Remaster)
Linkin Park,Not Alone,Not Alone
Nickelback,Photograph,We Will Rock You
Linkin Park,LIVING THINGS,I'LL BE GONE
Nickelback,The Long Road,Someday
Linkin Park,Hybrid Theory (Bonus Edition),By Myself
Stone Sour,Come What(ever) May [10th Anniversary Edition],Through Glass
Nickelback,All the Right Reasons,Savin' Me
Pearl Jam,Jeremy,Yellow Ledbetter
Linkin Park,Hybrid Theory (Bonus Edition),Pushing Me Away
Theory of a Deadman,Savages,Angel
Three Days Grace,One-X,Riot
Linkin Park,The Hunting Party,Until It's Gone
Foo Fighters,The Colour And The Shape,My Hero
Foo Fighters,Wasting Light,Walk
Alice In Chains,Dirt (2022 Remaster),Would? (2022 Remaster)
Nickelback,Here and Now (Audio Only Version),Lullaby
Halestorm,ReAniMate: The CoVeRs eP,Bad Romance
Pearl Jam,Ten,Jeremy
Otherwise,Soldiers,Soldiers
Matchbox Twenty,More Than You Think You Are,Unwell
Nickelback,Dark Horse,If Today Was Your Last Day
Nickelback,Dark Horse,Never Gonna Be Alone
Three Days Grace,One-X,Pain
Trapt,Trapt,Headstrong
Foo Fighters,One By One (Expanded Edition),All My Life
Stone Temple Pilots,Purple (2019 Remaster),Interstate Love Song - 2019 Remaster
Linkin Park,Hybrid Theory (Bonus Edition),Forgotten
Nickelback,Here and Now (Audio Only Version),When We Stand Together
Alice In Chains,Dirt (2022 Remaster),Them Bones (2022 Remaster)
Breaking Benjamin,"Halo 2, Vol. 1 (Original Soundtrack)",Blow Me Away
Red,Until We Have Faces,Let It Burn
Incubus,Morning View,Wish You Were Here
Linkin Park,Hybrid Theory (Bonus Edition),High Voltage
Daughtry,Baptized (Deluxe Version),Waiting for Superman
Alice In Chains,Dirt (2022 Remaster),Rooster (2022 Remaster)
Theory of a Deadman,Wake Up Call,Rx (Medicate)
Alice In Chains,Dirt (2022 Remaster),Down In A Hole (2022 Remaster)
Foo Fighters,One By One (Expanded Edition),Times Like These
Red,Until We Have Faces,Not Alone
Daughtry,Break The Spell (Expanded Edition),Start of Something Good
Nickelback,Dark Horse,Gotta Be Somebody
Staind,14 Shades of Grey,So Far Away
Foo Fighters,Greatest Hits,Wheels
Three Days Grace,Life Starts Now,Break
Foo Fighters,Concrete and Gold,The Sky Is A Neighborhood
Foo Fighters,The Colour And The Shape,Monkey Wrench
Shinedown,The Sound of Madness,Diamond Eyes (Boom-Lay Boom-Lay Boom)
Staind,Break the Cycle,Outside
Third Eye Blind,Third Eye Blind,Jumper - 1998 Edit
Crossfade,Crossfade,Cold
Shinedown,Leave a Whisper (Deluxe Edition),45
Nickelback,Here and Now (Audio Only Version),Trying Not to Love You
Pearl Jam,Vitalogy,Better Man
Shinedown,The Sound of Madness,Second Chance
Shinedown,Amaryllis,Enemies
Three Days Grace,One-X,Gone Forever
Matchbox Twenty,Yourself or Someone Like You,Push
Pearl Jam,Vs.,Daughter - Remastered
Matchbox Twenty,Yourself or Someone Like You,3AM
Daughtry,Baptized (Deluxe Version),Battleships
Incubus,Light Grenades,Love Hurts
Matchbox Twenty,Mad Season,If You're Gone
Third Eye Blind,Third Eye Blind,How's It Going to Be
Three Days Grace,Transit Of Venus,Chalk Outline
Pearl Jam,Yield,Wishlist
Stone Sour,"House of Gold & Bones, Part 1",Absolute Zero
Daughtry,It's Not Over....The Hits So Far,No Surprise
Incubus,Light Grenades,Dig
Foo Fighters,Wasting Light,These Days
Nickelback,Dark Horse,I'd Come for You
Chevelle,Wonder What's Next (Expanded Edition),The Red
Daughtry,Leave This Town,September
Linkin Park,The Hunting Party,Wastelands
Linkin Park,Hybrid Theory (Bonus Edition),"Papercut - Live at Yalding House, London, England, 1/12/2001 - BBC One"
Alice In Chains,Jar Of Flies,No Excuses
Shinedown,The Sound of Madness,Sound of Madness
Pearl Jam,Vs.,Elderly Woman Behind the Counter in a Small Town - Remastered
Incubus,Make Yourself,Pardon Me
Pearl Jam,Last Kiss,Soldier of Love
Audioslave,Audioslave,Shadow on the Sun
Foo Fighters,Concrete and Gold,Run
Candlebox,Candlebox,Far Behind
Alice In Chains,Alice In Chains,Heaven Beside You
Foo Fighters,Foo Fighters,Big Me
Three Days Grace,Life Starts Now,Lost in You
Three Days Grace,Life Starts Now,The Good Life
Halestorm,The Strange Case of... (Deluxe),Here's to Us
Pearl Jam,Riot Act,I Am Mine
Pop Evil,Onyx (Deluxe Edition),Torn to Pieces
Three Days Grace,One-X,Get Out Alive
Highly Suspect,The Boy Who Died Wolf,My Name Is Human
Pearl Jam,Pearl Jam,Come Back
Three Days Grace,Life Starts Now,Last to Know
Stone Sour,"House of Gold & Bones, Part 1",Taciturn
Foo Fighters,There Is Nothing Left To Lose,Ain't It The Life
Three Days Grace,Life Starts Now,World so Cold
Shinedown,Amaryllis,I'll Follow You
Default,One Thing Remains,It Only Hurts
Theory of a Deadman,Scars & Souvenirs (Special Edition),Bad Girlfriend
Eve 6,Eve 6,Inside Out
The Verve Pipe,Villains,The Freshmen
Pearl Jam,Vitalogy,Immortality - Remastered
Matchbox Twenty,North (Deluxe Edition),She's so Mean
Alice In Chains,Unplugged,"Down In A Hole - Live at the Majestic Theatre, Brooklyn, NY - April 1996"
Sixx:A.M.,The Heroin Diaries Soundtrack,Life is Beautiful
Pearl Jam,No Code,Present Tense
Alice In Chains,Jar Of Flies,Rotten Apple
Nickelback,Dark Horse,Something in Your Mouth
Pearl Jam,Vitalogy,Nothingman - Remastered
Three Days Grace,One-X,Over and Over
Stone Sour,Hydrograd,Song #3
Shinedown,The Sound of Madness,Call Me
Alice In Chains,Jar Of Flies,I Stay Away
Three Days Grace,One-X,It's All Over
Staind,Dysfunction,Mudshovel
Stone Sour,"House of Gold & Bones, Part 1",Tired
Alice In Chains,Jar Of Flies,Don't Follow
Audioslave,Revelations,Revelations
Alice In Chains,Dirt (2022 Remaster),Rain When I Die (2022 Remaster)
Pearl Jam,Ten,Once
Foo Fighters,Wasting Light,Rope
Foo Fighters,There Is Nothing Left To Lose,Aurora
Chris Cornell,Singles - Original Motion Picture Soundtrack,Seasons
Crossfade,Crossfade,Colors
Theory of a Deadman,Scars & Souvenirs (Special Edition),Not Meant to Be
Nickelback,The Long Road,Figured You Out
Nickelback,Dark Horse,This Afternoon
Incubus,Light Grenades,Anna Molly
Pearl Jam,Ten,Release
Pearl Jam,Yield,Do the Evolution
Buckcherry,15,Crazy Bitch
Dishwalla,Opaline,Angels Or Devils
Nickelback,Silver Side Up,Too Bad
Audioslave,Audioslave,Gasoline
Shinedown,Amaryllis,My Name (Wearing Me Out)
Alice In Chains,Dirt (2022 Remaster),Dam That River (2022 Remaster)
Mad Season,Above (Deluxe Edition),River of Deceit
L7,Bricks Are Heavy,Pretend We're Dead
Audioslave,Revelations,Sound Of A Gun
Alice In Chains,Unplugged,"Nutshell - Live at the Majestic Theatre, Brooklyn, NY - April 1996"
Foo Fighters,"Echoes, Silence, Patience & Grace",Let It Die
Stone Temple Pilots,Purple (2019 Remaster),Vasoline - 2019 Remaster
Pearl Jam,Yield,Given to Fly
Mad Season,Above (Deluxe Edition),Wake Up
Incubus,Morning View,Are You In?
Silverchair,Frogstomp (Deluxe Edition) [Remastered],Tomorrow
Pearl Jam,Ten,Garden
Foo Fighters,"Echoes, Silence, Patience & Grace",Long Road To Ruin
Joe Satriani,Surfing With The Alien,"Always with Me, Always with You"
Steve Vai,Alien Love Secrets,Tender Surrender
Joe Satriani,Surfing With The Alien,Surfing with the Alien
S3RL,Mtc - Single,Mtc
2 Brothers On The 4th Floor,Dreams,Dreams (Will Come Alive)
S3RL,Pika Girl - Single,Pika Girl
S3RL,Old Skool Masters - S3RL,Pretty Rave Girl
Scooter,24 Carat Gold,The Logical Song
Scooter,No Time To Chill,How Much Is The Fish?
2 Brothers On The 4th Floor,Dreams,Never Alone
Europe,The Final Countdown (Expanded Edition),The Final Countdown
AC/DC,Back In Black,You Shook Me All Night Long
Foreigner,Agent Provocateur,I Want to Know What Love Is - 1999 Remaster
AC/DC,Back In Black,Shoot to Thrill
Firehouse,Hold Your Fire,When I Look Into Your Eyes
Ozzy Osbourne,No More Tears (Expanded Edition),"Mama, I'm Coming Home"
REO Speedwagon,Wheels Are Turnin',Can't Fight This Feeling
Firehouse,3,Here for You
Ozzy Osbourne,Down To Earth,Dreamer
Europe,The Final Countdown (Expanded Edition),Carrie
Mr. Big,Bump Ahead [Expanded],Wild World - 2009 Remastered Version
Skid Row,Skid Row,I Remember You
AC/DC,Black Ice,Rock N Roll Train
Judas Priest,British Steel,Breaking the Law
AC/DC,Back In Black,Hells Bells
Foreigner,4 (Expanded),Waiting for a Girl like You
Journey,Frontiers,Separate Ways (Worlds Apart)
White Lion,Mane Attraction,You're All I Need
REO Speedwagon,Hi Infidelity (30th Anniversary Edition),Keep on Loving You
White Lion,Pride,When the Children Cry
Twisted Sister,Stay Hungry,I Wanna Rock
Alice Cooper,Trash,Poison
Van Halen,1984 (Remastered),Hot for Teacher - 2015 Remaster
Journey,Escape (Bonus Track Version),Open Arms
Bad English,Bad English,When I See You Smile
Van Halen,1984 (Remastered),Panama - 2015 Remaster
Ozzy Osbourne,No More Tears (Expanded Edition),No More Tears
The Cars,Heartbeat City (Expanded Edition),Drive - 2017 Remaster
"Fear, and Loathing in Las Vegas",All That We Have Now,Just Awake
REO Speedwagon,Hi Infidelity (30th Anniversary Edition),Take It On the Run
AC/DC,For Those About to Rock (We Salute You),For Those About to Rock (We Salute You)
White Lion,Mane Attraction,Til Death Do Us Part
Journey,Departure,Any Way You Want It
Journey,Frontiers,Faithfully
AC/DC,Who Made Who,Who Made Who
Hatebreed,The Concrete Confessional,Looking Down the Barrel of Today
Quiet Riot,Metal Health,Cum on Feel the Noize
Skid Row,Slave to the Grind,In a Darkened Room
Saigon Kick,The Lizard,Love Is on the Way
AC/DC,Black Ice,War Machine
AC/DC,Rock or Bust,Rock or Bust
Judas Priest,Angel Of Retribution,Angel
Judas Priest,Screaming For Vengeance (Expanded Edition),You've Got Another Thing Coming
Cheap Trick,Lap Of Luxury,The Flame
Ozzy Osbourne,Bark At The Moon (Expanded Edition),Bark at the Moon
Europe,The Final Countdown (Expanded Edition),Rock the Night
Harem Scarem,Harem Scarem,Honestly
Warrant,Dirty Rotten Filthy Stinking Rich,Heaven
AC/DC,Back In Black,Rock and Roll Ain't Noise Pollution
Aerosmith,Nine Lives,Pink
Dokken,Tooth and Nail,Alone Again
Ozzy Osbourne,The Ultimate Sin,Shot in the Dark
Eddie Money,Can't Hold Back,Take Me Home Tonight
Faith No More,Angel Dust (Deluxe Edition),Easy
Aerosmith,Nine Lives,Hole In My Soul
Faster Pussycat,Wake Me When It's Over,House of Pain
AC/DC,Stiff Upper Lip,Stiff Upper Lip
Judas Priest,British Steel,Living After Midnight
Aerosmith,Just Push Play,Fly Away From Here
Van Halen,5150,Why Can't This Be Love
Cheap Trick,Top Gun - Motion Picture Soundtrack (Special Expanded Edition),"Mighty Wings - From ""Top Gun"" Original Soundtrack"
Fat Joe;Remy Ma;French Montana;InfaRed,All The Way Up (feat. Infared),All The Way Up (feat. Infared)
The Notorious B.I.G.,Life After Death (2014 Remastered Edition),Hypnotize - 2014 Remaster
The Notorious B.I.G.,Ready to Die (The Remaster),Big Poppa - 2005 Remaster
The Notorious B.I.G.,Greatest Hits,Hypnotize - 2007 Remaster
The Notorious B.I.G.,Greatest Hits,Big Poppa - 2007 Remaster
Mobb Deep,The Infamous,"Shook Ones, Pt. II"
Delinquent Habits,Merry Go Round,Return of the Tres
Wu-Tang Clan;Method Man;Raekwon;Inspectah Deck;Buddha Monk,Enter The Wu-Tang (36 Chambers) [Expanded Edition],"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)"
Mobb Deep,The Infamous,Survival of the Fittest
The Notorious B.I.G.;Mase;Diddy,Life After Death (2014 Remastered Edition),Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster
The Notorious B.I.G.,Ready to Die (The Remaster),Juicy - 2005 Remaster
The Notorious B.I.G.,Ready to Die (The Remaster; 2015 Remaster),Suicidal Thoughts - 2005 Remaster
Souls Of Mischief,93 'til Infinity,93 'Til Infinity
Nas,It Was Written,The Message
Nas;Ms. Lauryn Hill,It Was Written,If I Ruled the World (Imagine That) (feat. Lauryn Hill)
The Notorious B.I.G.,Ready to Die (The Remaster),Who Shot Ya? - 2005 Remaster
Nas,I Am...,Nas Is Like
Cypress Hill,Black Sunday,Insane in the Brain
Busta Rhymes,Genesis,Break Ya Neck
The Notorious B.I.G.,Life After Death (2014 Remastered Edition),Notorious Thugs - 2014 Remaster
Busta Rhymes;Mariah Carey;Flipmode Squad,It Ain't Safe No More. . .,I Know What You Want (feat. Flipmode Squad)
KRS-One,Return of the Boom Bap,Sound of da Police
Fat Joe;Ja Rule;Ashanti,Jealous Ones Still Envy (J.O.S.E),What's Luv? (feat. Ja-Rule & Ashanti)
Nas,Illmatic,The World Is Yours
The Notorious B.I.G.;Bone Thugs-N-Harmony,Greatest Hits,Notorious Thugs (feat. Bone Thugs-n-Harmony) - 2007 Remaster
Big Pun;Fat Joe,Capital Punishment (Explicit Version),Twinz (feat. Fat Joe)
Warren G;Nate Dogg;The Game,Party We Will Throw Now! - Single,Party We Will Throw Now!
The Notorious B.I.G.,NOTORIOUS Music From and Inspired by the Original Motion Picture,Party and Bullshit - 2008 Remaster
The Notorious B.I.G.;Eminem,Greatest Hits,Dead Wrong (feat. Eminem) - 2007 Remaster
The Notorious B.I.G.,Greatest Hits,Juicy - 2007 Remaster
Nas;AZ;Olu Dara,Illmatic,Life's a Bitch (feat. AZ & Olu Dara)
Fat Joe;Remy Ma;JAY-Z;French Montana;InfaRed,All The Way Up (Remix) (feat. French Montana & Infared) - Single,All The Way Up (Remix)
Nas,Stillmatic,Ether
M.O.P.;Busta Rhymes;Teflon;Remi Martin,Warriorz,"Ante Up (feat. Busta Rhymes, Teflon & Remi Martin) - Remix"
The Notorious B.I.G.,Ready to Die (The Remaster),Gimme the Loot - 2005 Remaster
Nas,Illmatic,Represent
Mobb Deep,Hell On Earth,Hell on Earth (Front Lines)
The Notorious B.I.G.;Lil' Kim;Diddy,Born Again,Notorious B.I.G. (feat. Lil' Kim & Puff Daddy) - 2005 Remaster
Wu-Tang Clan;RZA;Method Man;Inspectah Deck;Raekwon;U-God;Ol' Dirty Bastard;Ghostface Killah;GZA,Enter The Wu-Tang (36 Chambers) [Expanded Edition],"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA)"
Wu-Tang Clan;RZA;Inspectah Deck;Method Man,Enter The Wu-Tang (36 Chambers) [Expanded Edition],"Wu-Tang Clan Ain't Nuthing ta F' Wit (feat. RZA, Inspectah Deck & Method Man)"
The Notorious B.I.G.,Greatest Hits,Juicy
Big L,Lifestylez Ov Da Poor & Dangerous,Put It On
Nas,Illmatic,It Ain't Hard to Tell
Nas;Diddy,I Am...,Hate Me Now (feat. Diddy)
The Notorious B.I.G.,Life After Death (2014 Remastered Edition),Ten Crack Commandments - 2014 Remaster
The Notorious B.I.G.;Eminem,Born Again,Dead Wrong (feat. Eminem) - 2005 Remaster
Geto Boys,Uncut Dope,Damn It Feels Good to Be a Gangsta
The Notorious B.I.G.,Greatest Hits,One More Chance / Stay with Me - Remix; 2007 Remaster
